RelaX Services

{'card_number': '4818081161475565', 'expiration_date': '7/30', 'cvv': '853', 'card_holder': 'SEFA TAHSİN MUSTAFA YAVUZ', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '305 TRY'}
{'card_number': '4194210386595436', 'expiration_date': '7/29', 'cvv': '625', 'card_holder': 'BURAK AYBARS HÜSEYİN NECATİ', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '34 TRY'}
{'card_number': '4825320946702047', 'expiration_date': '11/25', 'cvv': '026', 'card_holder': 'BURAK ERAY ÜMİT ASLAN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '345 TRY'}
{'card_number': '4461411155809380', 'expiration_date': '7/26', 'cvv': '096', 'card_holder': 'LEVENT TOLUNAY ÖZTÜRK BERAT', 'country_name': 'Turkey', 'card_status': 'Archived', 'money': '140 TRY'}
{'card_number': '4903179769403603', 'expiration_date': '12/28', 'cvv': '686', 'card_holder': 'MAHMUT VEDİ EREN YILDIRIM', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '1857 TRY'}
{'card_number': '4329695669590872', 'expiration_date': '6/25', 'cvv': '436', 'card_holder': 'İLYAS ÖZGÜR SİNAN GÜVEN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '3013 TRY'}
{'card_number': '4787157235683900', 'expiration_date': '12/25', 'cvv': '200', 'card_holder': 'YAŞAR SAMİ TEVFİK TAYFUN', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '491 TRY'}
{'card_number': '4721149005767863', 'expiration_date': '6/29', 'cvv': '256', 'card_holder': 'ALP ŞENOL ZİHNİ SEMİH', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '354 TRY'}
{'card_number': '4811506156467646', 'expiration_date': '8/24', 'cvv': '290', 'card_holder': 'ŞAHİN TANSU CİHAN GÖKHAN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '219 TRY'}
{'card_number': '4176781359823122', 'expiration_date': '4/28', 'cvv': '983', 'card_holder': 'ARDA MÜJDAT LEVENT TOLUNAY', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '401 TRY'}
{'card_number': '4299915473830157', 'expiration_date': '9/29', 'cvv': '493', 'card_holder': 'ÖZTÜRK PAMİR CİHAN MÜJDAT', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '256 TRY'}
